"Timestamp,Voltage (V)"
"2026-05-29 21:55:23.181,3.39"
"2026-05-29 21:55:23.213,3.07"
"2026-05-29 21:55:23.414,2.96"
"2026-05-29 21:55:23.614,2.9"
"2026-05-29 21:55:23.814,2.81"
"2026-05-29 21:55:24.015,2.81"
"2026-05-29 21:55:24.216,2.74"
"2026-05-29 21:55:24.416,2.72"
"2026-05-29 21:55:24.616,2.83"
"2026-05-29 21:55:24.817,5.27"
"2026-05-29 21:55:25.018,2.94"
"2026-05-29 21:55:25.218,2.83"
"2026-05-29 21:55:25.419,2.84"
"2026-05-29 21:55:25.619,2.95"
"2026-05-29 21:55:25.820,3.4"
"2026-05-29 21:55:26.020,2.5"
"2026-05-29 21:55:26.220,4.53"
"2026-05-29 21:55:26.421,3.5"
"2026-05-29 21:55:26.621,3.56"
"2026-05-29 21:55:26.822,3.28"
"2026-05-29 21:55:27.022,3.0"
"2026-05-29 21:55:27.223,2.93"
"2026-05-29 21:55:27.424,2.88"
"2026-05-29 21:55:27.624,3.05"
"2026-05-29 21:55:27.824,2.9"
"2026-05-29 21:55:28.025,2.83"
"2026-05-29 21:55:28.225,2.74"
"2026-05-29 21:55:28.426,2.5"
"2026-05-29 21:55:28.626,2.87"
"2026-05-29 21:55:28.827,3.29"
"2026-05-29 21:55:29.027,2.93"
"2026-05-29 21:55:29.228,2.67"
"2026-05-29 21:55:29.428,4.05"
"2026-05-29 21:55:29.629,2.43"
"2026-05-29 21:55:29.829,2.93"
"2026-05-29 21:55:30.030,3.2"
"2026-05-29 21:55:30.230,2.4"
"2026-05-29 21:55:30.431,2.66"
"2026-05-29 21:55:30.631,3.61"
"2026-05-29 21:55:30.832,4.1"
"2026-05-29 21:55:31.032,3.38"
"2026-05-29 21:55:31.233,4.34"
"2026-05-29 21:55:31.433,3.99"
"2026-05-29 21:55:31.634,4.6"
"2026-05-29 21:55:31.834,4.44"
"2026-05-29 21:55:32.035,2.6"
"2026-05-29 21:55:32.235,3.08"
"2026-05-29 21:55:32.436,3.56"
"2026-05-29 21:55:32.636,3.26"
"2026-05-29 21:55:32.837,3.24"
"2026-05-29 21:55:33.037,3.12"
"2026-05-29 21:55:33.238,2.66"
"2026-05-29 21:55:33.438,2.96"
"2026-05-29 21:55:33.639,2.95"
"2026-05-29 21:55:33.839,2.79"
"2026-05-29 21:55:34.039,3.11"
"2026-05-29 21:55:34.240,2.86"
"2026-05-29 21:55:34.441,3.07"
"2026-05-29 21:55:34.641,3.06"
"2026-05-29 21:55:34.842,2.82"
"2026-05-29 21:55:35.042,2.77"
"2026-05-29 21:55:35.243,3.27"
"2026-05-29 21:55:35.443,3.75"
"2026-05-29 21:55:35.643,2.09"
"2026-05-29 21:55:35.844,2.6"
"2026-05-29 21:55:36.044,2.91"
"2026-05-29 21:55:36.245,2.85"
"2026-05-29 21:55:36.445,2.87"
"2026-05-29 21:55:36.646,3.9"
"2026-05-29 21:55:36.846,3.75"
"2026-05-29 21:55:37.047,4.17"
"2026-05-29 21:55:37.247,3.45"
"2026-05-29 21:55:37.449,3.17"
"2026-05-29 21:55:37.648,4.04"
"2026-05-29 21:55:37.849,3.99"
"2026-05-29 21:55:38.049,3.93"
"2026-05-29 21:55:38.250,4.15"
"2026-05-29 21:55:38.450,4.84"
"2026-05-29 21:55:38.651,3.96"
"2026-05-29 21:55:38.851,3.07"
"2026-05-29 21:55:39.052,2.69"
"2026-05-29 21:55:39.252,2.83"
"2026-05-29 21:55:39.453,2.86"
"2026-05-29 21:55:39.653,2.83"
"2026-05-29 21:55:39.854,2.94"
"2026-05-29 21:55:40.054,2.95"
"2026-05-29 21:55:40.255,3.41"
"2026-05-29 21:55:40.455,4.84"
"2026-05-29 21:55:40.656,5.56"
"2026-05-29 21:55:40.857,4.08"
"2026-05-29 21:55:41.056,3.39"
"2026-05-29 21:55:41.258,3.52"
"2026-05-29 21:55:41.458,3.69"
"2026-05-29 21:55:41.658,3.87"
"2026-05-29 21:55:41.858,3.73"
"2026-05-29 21:55:42.059,3.43"
"2026-05-29 21:55:42.260,2.52"
"2026-05-29 21:55:42.460,3.06"
"2026-05-29 21:55:42.661,3.23"
"2026-05-29 21:55:42.861,3.07"
"2026-05-29 21:55:43.061,2.98"
"2026-05-29 21:55:43.262,3.38"
"2026-05-29 21:55:43.463,3.31"
"2026-05-29 21:55:43.663,3.57"
"2026-05-29 21:55:43.864,3.26"
"2026-05-29 21:55:44.064,3.25"
"2026-05-29 21:55:44.265,3.05"
"2026-05-29 21:55:44.465,2.17"
